text,key,ta_a1,ta_a2,ta_a3,ta_a4,ta_a5,ta_a6
"""சீ.....னுக்கும் #சாமான் சப்ளை பண்ணினோம். எனவே நாங்கள் தமிழர்கள்."" - #வடுக_அகதி  (""சீனிவாசனுக்கும்"" = 🤪)",question_1,1.0,,,,,
"""ஜாதி ஒழிப்பு என்ற பெயரால் பெரியார் நடத்தும் போராட்டத்தை அழுத்தமாகக் கண்டிக்கிறோம்.இனி பெரியாரின் ஜாதி ஒழிப்பைப் பற்றி சில செய்திகளை உங்களுக்கு நினைப்பூட்ட விரும்புகிறேன்.  காங்கிரஸிலிருந்து வெளியேறிய ஈவேரா,...  ",question_1,0.0,,,,,
"""நான் மொட்டை மரம். என்னை மிரட்டுவதற்கு உங்களிடம் சரக்கு கிடையாது. பதவிக்கோ பணத்துக்கோ வயிற்றுச் சோற்றுக்காகவோ ஒரு வழியினை எதிர்பார்த்து இந்த வேலையில் இறங்கவில்லை. நான் ஒற்றையாள்! நின்ற நாளைக்கு நெடுஞ்சுவர், விழுந்தால் குட்டிச்சுவர், மூழ்கப்போவது ஒன்றுமில்லை.""   #பெரியார்",question_1,,,,,0.0,
"""நீ என்ன ஐடியா சொல்றது நான் என்ன கேக்குறது? நீ என்னைக்காச்சும் எனக்கு ஐடியா கொடுத்திருக்கியா? நாங்க வீடுவீடா போய் ஹெல்ப் பண்றோம். நீ வீடுவீடா போய் ஹெல்ப் பண்ணதாலதான் கொரோனா வந்துச்சு. எல்லாருக்கும் வந்தாதான் அது சமூக பரவல். இல்லன்னா அது  கோழி வறுவல்"" - மண்புழு மடகாஸ்கர்",question_1,,0.0,,,,
"""பட்டியல் வெளியேற்றம் பற்றி பேசுபவர்கள், எதுவுமே புரியாதவர்கள்"" கிருத்துதாசு காந்தி #ChristodasGandhi #Politics #Reservation  ",question_1,0.0,,,,,
"""யூசுப் மெஹர் அலி"" எனும் இஸ்லாமியர்....*  *""சாரே ஜஹான்சே அச்சா, ஹிந்துஸ்தான் ஹமாரா"" எனும் தேசப்பற்று மந்திரத்தை நமக்கு எழுதித்தந்தவர் ""முஹம்மது இக்பால்"" எனும் இஸ்லாமியர்....*  *சுதந்திர போராட்ட வீரர்களை உற்சாகத்தின் எல்லை வரை கொண்டு சென்ற, இன்றும் கேட்கும்போது நம்மை இந்தியனென்று",question_1,,,,0.0,,
"""வாடா சிங்கக்குட்டியாம்"" பிஜேபிக்கு எதிரா போறாடுற எல்லாருக்கும் இவன் தலைவன்னு இவனே நினைச்சுட்டானா மொன்னத் தாயோளி",question_1,1.0,,,,,
"""விநாச காலே விபரீத புத்தி""  - T.R.Balu!!  RS.பாரதி கைது பற்றி தூய தமிழில்!!!",question_1,,,,0.0,,
"# மஞ்ச கயிறு எடுத்து கையில கட்டுனா அது ""காப்பு""..  அதுவே ஒரு பொண்ணு கழுத்துல கட்டுனா  அது நமக்கு நாமே வச்சுக்குற ""ஆப்பு""..  # ஆட்டக்காரிக்கும் வீட்டுக்காரிக்கும் என்ன வித்தியாசம்..? ஒரு பாட்டுக்கு ஆடுனா அவ ஆட்டக்காரி.. அவபாட்டுக்கு ஆடுனா அவ வீட்டுக்காரி..",question_1,0.0,,,,,
#29YrsOfVIJАYSupremacy #Valima கோத்தா வாடா🐿️🐿️😂😂,question_1,,0.0,,,,
#2Point0 இந்த டேக்ல நெரையா அஜித் பேன்ஸ் விஜய பத்தி பேசிட்டு இருக்காய்ங்க டேய்... இது ரஜினி மூவி டேக் டா முட்டா பசங்கலா... நீ அப்போ எதுக்கு வந்தனு கேட்டானுங்கனா ஊம்பு என்பதே பதில்...   (சண்டைய மூட்டி விட ஆராம்பிச்சிட்டாய்ங்க போல)..😂😂,question_1,,,,,1.0,
#350தந்தாதான்_நீஅஜித்பேன் அஜித் பேன்ஸ் ஒரு தேவ்டியா பசங்கனு யாரெல்லாம் சொல்றிங்களோ   ஆர்டி கட்டிட்டு போங்க 🤟😇  #350தந்தாதான்_நீஅஜித்பேன்,question_1,1.0,,,,,
"#BIGNEWS  ""காவிரி நதி தேசத்தின் பொதுச் சொத்து... யாருக்கும் உரிமையில்லை"" -உச்சநீதிமன்றம்  ஆனாலும் எங்களுக்கே சொந்தம் ன்னு சொல்லும்-கர்நாடகம்",question_1,,0.0,,,,
#BREAKING || அனைத்து கடைகளும் இன்று இரவு ஒன்பது மணி வரை செயல்பட அனுமதி  அனைத்து கடைகளும் நாளை காலை ஆறு மணி முதல் இரவு ஒன்பது மணி வரை செயல்பட அனுமதி  | #Tamilnadu | #TNCorona  |#TNFullLockDown  |#TNCurfew | #TNGovt  |#CMMKStalin,question_1,0.0,,,,,
#DMart கடையில் எந்த சாமான் உண்மையில் மலிவு விலையில் கிடைக்கிறது என்பது பற்றி சொல்லலாம் என எண்ணம். ஒரே ஒரு விசிட்டில் அவர்களது மாடல் புரிந்து விட்டது :),question_1,,,,0.0,,
#DhanushBdayMonthBegins   கொல்லையில வாழ எல கொட்டடியில் கோழி குஞ்சு அத்தனையும் உன் மொகத்த சொல்லுதய்யா ஆடும் மாடும் வெறும் வாய மெள்ளுதய்யா,question_1,0.0,,,,,
#ENGvsPAK 2வது டி20: பாகிஸ்தானை பழிதீர்த்த இங்கிலாந்து..! ஆட்டநாயகன் மொயின் அலி #T20 #EnglandWin #MoeenAli  ,question_1,,,,0.0,,
#INDvsBAN #RJBalaji லூசு கூ முட்ட கமென்டரிங்குற பேர்ல அடில ராடு விட்ட நாய் மாதிரியே கத்து..தூ,question_1,,,,0.0,,
"#JUSTIN #பாலியல்_ஜல்சா_கட்சி #இடுப்புகிள்ளிதிமுக #அன்புயிசம்  பொதுவானவை  முட்டையைக் கொடுத்து காசு வாங்குகிறவன் வியாபாரி, காசைக் கொடுத்து முட்டையை வாங்குகிறவன் சம்சாரி, எதையும் கொடுக்காமல் எல்லாம் வாங்குபவன் அரசியல்வாதி.",question_1,,,,,0.0,
#JUSTIN | மும்பையில் இருக்கும் பாகிஸ்தான் நிறுவனர் முகம்மது அலி ஜின்னாவுக்கு சொந்தமான இல்லத்தை தெற்காசிய கலை மற்றும் கலாச்சார இல்லமாக மாற்ற அமைச்சர் அமித்ஷாவுக்கு பாஜக கோரிக்கை  #SunNews | #BJP,question_1,,0.0,,,,
#JagameThandhiram #Karnan #Master  காலை நேரம் என் தம்பி 🍌🍌  dai முட்டா பயலே சூரியன் சூத்து மேல அடிக்குது எழுந்தரா nu சொல்றா 🤣🤣🤣 இனிய காலை வணக்கம் 💫💫,question_1,,0.0,0.0,,1.0,0.0
#Kaavalan .  ஒரு ஆமை தாயோளி 50K முடிஞ்சா அடிச்சு காட்டுங்க சொல்லுச்சு.. 😠 .  இதுக்காண்டியே அத தாண்டி 100K அடிக்குறோம்...,question_1,,0.0,,,,
#KollywoodKingThalapathyVijay #KollywoodEmperorThalaAJITH  தேவடியா பசங்களா வேற வேலை ய பாருங்க.....,question_1,,,,0.0,,
#MeToo  #கதையல்ல_நிஜம் - என்னம்மா பிரச்சினை? complaints ன்னு சொல்லி டெல்லி வரைக்கும் மெயில் போட்டுட்டீங்களே? - என்னுடைய பிரான்ச் மேனேஜர் தான் பிரச்சினை. தினம் நைட்டு எட்டு ஒன்பது மணி வரைக்கும் ஆபீஸ்ல வேலை இல்லாத...  ,question_1,,,0.0,,,
#PondyWelcomesTHALAPATHY  ஏன் நம்ம தளபதிய எல்லாரும் பொம்பள பொருக்கி குண்டி தடவுறாருனு சொல்ராங்க நண்பா,question_1,,,,0.0,,
#SuriyaBdayCDPCarnival <handle replaced>த்தா தேவ்டியா பையா வேலைய விட்டு போடா,question_1,1.0,,,,,
#TNTemplesSave_From_Jakki  ஏற்கனவே கோயில் சிலைகளை ஆட்டைய போட்டது பத்தாதுண்ணு... இப்போ தூண் கல்லு செவுறு எல்லாத்தையும் திருடி விக்களாமுண்ணு முடிவு பண்ணிட்டான் அயோக்கியன் <handle replaced>,question_1,,0.0,,,,
#TamilNadu க்கு அரசியையே தெரியும்...காந்தி கணக்கு அரசியல் ...(அரிசியல்) தேவை இல்லை என மக்கள் ஒதுங்கியும் ...நீதி ........தின்னு ஒன்பது மவனை ...மையம்..கொய்யம்னு ...தே மவனுக...#TamilNadu,question_1,1.0,1.0,0.0,,,1.0
"#VFT : விழுவது போல் கொஞ்சம் விழுந்திடுவேனே ஆமைகள் சுகம் காண ...  கடைசியா உங்க மூஞ்சுல சிரிப்ப பார்க்கணும் தோனுச்சு , சிரிச்சுக்கோங்கடா ஆமை தேவடியா பசங்களா ...",question_1,1.0,,,,,
"#Valimai #AjithKumar   சில காலமாவே,சித்திர குள்ளன்ங்க,அஜித் Related ட்வீட்ல,உப்ப கொண்டாந்து வெறியா ஊம்புறாங்க,<handle replaced>தேவ்டியா பேன்ஸ கண்டுக்காதீங்க,டயர்1 சுன்னிய கடிச்சி பெரிய ஆள்னு காட்ட பாக்றாங்க,",question_1,,1.0,,,,
"#YogiAdityanath  டேய் சொறிமாறா, ஓசி சோறு நாறமணி, குருமாவளவா, டேனியல் காந்தி, ஆமையன் சாமான் நாய்களா.  இவர் பிரதமர் ஆகுவதற்க்குள் இந்தியாவ விட்டு ஓடிடுங்க.  இல்லணா அதுலயே சுட்டுபுடுவார்.  நான் துப்பாக்கிய சொன்னேன்.",question_1,,,,,0.0,
"#freeread   Hello !!,நான் தான் ரித்திகா.   நான் இப்போ வீட்ட விட்டு கிளம்புறேன்.  எங்கன்னு கேக்கறீங்களா?? அது எனக்கே  தெரியாதுங்க. என்ன புரியலையா. ஆமாங்க நான் வீட்ட விட்டு ஓடி போக போறன். ஏன்னா நாளைக்கி எனக்கும் என்னோட அத்தை...  ",question_1,0.0,0.0,0.0,0.0,,
#shan_fav ஒயிட் லெகான்  கோழி ஒன்னு கூவுது அது பாஸ்ட் புட்டு  கடைய பாத்து ஏங்குது.. 🎶🎶🎶...🎼🎼🎼,question_1,,0.0,,,,
#spvarunkumarisking  சங்கி அதிமுக பயந்தாங் கோழி அதிமுக   #சங்கிஅதிமுக  தமிழ் நாடு சங்கி அரசு,question_1,,0.0,,,,
"#அத்தை போன்ற இழிபிறவியை எல்லாம் கேவலமாக திட்டாதீங்க ன்னு நான் சொல்ல மாட்டேன் ,  கேவலமாக own ID ல திட்டாதீங்க ன்னு தான் சொல்வேன் .  நாம் எடுக்க வேண்டிய ஆயுதத்தை எதிரியே தீர்மானிக்கிறான் <handle replaced>bro , ஆனா நீங்க காந்தியாகவே இருங்க 🙏🏻",question_1,,,,0.0,,
#ஊபிஸ்: நாங்க ஆட்சிக்கு வந்து 200 நாள் தாங்க ஆச்சி..  - டேய் லூசு 3 மாசங்குறது 200 நாளுக்கு உள்ள வரது தான்டா.  (தளபதியின் அடுத்த சிக்ஸர் ),question_1,,,0.0,,,
#எச்சபொறுக்கிராஜா #பாலியல்_ஜல்சா_கட்சி யின் #பார்ப்பானுக்கு_மட்டும் #பன்வாரிலால்  #வெளியேறும்_ஆளுநரே,question_1,,0.0,,,,
#ஒரு லக்கனத்தில் ஒன்பது கிரகங்களும் உச்சம் பெற்ற ஒருவன் அதாவது சுடலை நீங்க இருக்கிற ஊர்ல தொடர் மழையின் காரணமாக வறட்சியும் ஏற்படும் சுட்டெரிக்கும் வெயில் காலத்தில் பயிரெல்லாம் நீரில் மூழ்கியும் போகும் 🤣😂😜  <handle replaced><handle replaced><handle replaced><handle replaced> <handle replaced>,question_1,,,,0.0,,
#ஒருவிரல்புரட்சி பாடலையே தப்பா பேசுறியா தேசத்துரோகி எச்ச பய #சாமான்  சிம்புக்கு முட்டு கொடுக்க ஆரம்பிச்சிட்டான்   #திருட்டுபயசீமான்,question_1,,0.0,,,,
#ஓசி_சிக்கன்ரைஸ்_பாஜக ஓர் உணவு விடுதியில் கோழி பிரியாணி சாப்பிட்டு விட்டு காசு கொடுக்க முடியாது என்று பாஜக மற்றும் இந்துமுன்னணி ஆட்கள் கலாட்டா செய்து அமித்ஷாவிற்கு போன் செய்து உங்களை ஒழித்துக்கட்டுவோம் என்று சபநமிட்ட சக்திகளை வன்மையாகக் கண்டிக்கிறேன்.,question_1,,,,,0.0,
#ஓசி_சிக்கன்ரைஸ்_பாஜக. ஆடு.. மாடு... கோழி ... எதையும் விட்டு வைக்காதிங்கடா...,question_1,0.0,0.0,0.0,,,0.0
#கையபுடிச்சு_இழுத்தியா_உபிகள்: இவர்கள் கேட்டகேள்விக்கு பதில் சொல்லாமல் சம்பந்தமில்லாமல் சகட்டுமேனிக்கு வேறு எதையாவது எழுத்துவைத்து சொல்வார்கள். கடைசிவரை நேரடியா பதிலே வராது 🤦‍♂️🤦‍♂️  #சாக்கடை_உபிகள்: வாயை திறந்தா கூவம் தான். ஆத்தா கோத்தா என்று கெட்ட நெடியோடு பேசும் சாக்கடைகள் 🤧🤧,question_1,,0.0,,,,
"#கொமுகொபி  கொமு : கண்ணா, காய்கறி, மளிகை சாமான் வாங்கிட்டு மீதி பணத்தை சரியாக வாங்கினியா?  கொபி : கண்ணா, மீதி பணத்தை அப்படியே வைச்சுட்டு கையை சோப்பு போட்டு நன்றாக கழுவு.",question_1,,,,0.0,,
#கோஷ்டி4- ஜவாஹிருல்லா திமுக கூட்டணில இருக்காரு நாங்க ஹைதர் அலி  கோஷ்டி அதனால திமுகவ எதிர்கிறோம்....🤣  #கோஷ்டி5– ஒன்னுமே இல்லாத முஸ்லீம் லீக்-க்கு 3 சீட் கொடுதிருக்காரு அதனால திமுக  எதிர்கிறோம்...🤣  நீங்க எப்பதான்யா பா.ஜ.க-வ  எதிர்பீங்க...😠,question_1,,,0.0,,,
#ங்கோத்தா  #ங்கொம்மா என்பது கூட தமிழ் மொழிதானே...  அப்புறம் ஏன் இந்த வார்த்தை கமெண்ட் பண்ணா தீம்கா தாயோலிங்க  ரிப்போர்ட் அடிக்குறாங்க   #ங்கொம்மால அப்புறம் எப்படிடா தமிழ் வளரும்,question_1,,0.0,,,,
#சம்பவம்  9த் படிச்சாப்போ கிளாஸ் விட்டு வெளில போறப்போ ஒரு கல்லு எடுத்து பிரண்ட் மேல எரிஞ்சேன் அவன் நகர்ந்துட்டான். அது பொண்ணு ரைட் சைடு நெஞ்சுல அடிச்சி பேருசா வீங்கிடுச்... அது ஹெடிமாஸ்டர்ட சொல்லி நடு கிரௌண்ட்ல முட்டி போடவாச்சாரு.,question_1,,,1.0,,,
#சற்று அயர்ந்தால் நம் மீது இந்தியை திணித்து விடுவார்கள் #சுடலை இவர் வாயில தமிழையே திணிக்க முடியல எங்கிட்டு இந்தி திணிக்க😂😂  #பெரியாராவது_மயிராவது #விபச்சாரவிகடன்  <handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced><handle replaced>,question_1,,,,,0.0,
#சாமான் கட்சில இருக்குற எவனுக்கும் மூளையே இல்ல போலருக்கு !!   1 Gb 250 ருபாய்க்கு  10வருஷமா வித்து கோடி கோடியாக ஆட்டய‌ போட்டான் Airtel Vodofone ..  50 பைசாவுக்கு ஒரு Call பேசுனிங்க...   இப்ப  Jio 6 பைசா‌ கேட்டா கசக்குதா !!,question_1,,,,,0.0,
#சாமான் தும்பிங்களுக்கு கடைசிவர எருமை மாட்டு மூளைதான் போல.....  கட்டிங்காம் ஒட்டிங்காம்🤣🤣🤣  டேய் சாமான் தும்பே புரிதல பத்தி நீ பேசுரியாக்கும்....  ||நாங்க ஆங்கிலம் படிங்கனு சொன்னா குத்தம்  நீங்க படிங்கனு சொன்னா புத்திசாலித்தனம்..||  #கேணக்கூதிசீமான் #டுபாக்கூர்சீமான்  ,question_1,0.0,,,,,
#சின்னம்மா அவர்களுடன் தமுமுக தலைவர் திரு.#ஹைதர்_அலி சந்திப்பு!,question_1,,,,0.0,,
#சீமான் அண்ணனின் #சாமான் ஐ  ஊரெல்லாம் வீணாக பேசி _த்தை கிழித்துக்கொண்ட மறக்க முடியாத பரத்தைகளுக்கு சமர்பணம்... இனிமேல் சீமான் அண்ணனும் அந்த #ஐடி_விங்க் புரளி வாசிகளின் வீட்டிற்கு சென்றோமா..வந்தோமா என்றிருக்க வேண்டும்! #மண்ணின்_காவலன்_சீமான் #தமிழர் #பாஐக #திராவிட,question_1,,,1.0,,,
"#டக்கால்டி_அண்ணாமலை சார். தற்சார்பு பேசுனீங்க! சரி., ஆடு மேச்சீங்க சரி.,  மண் சார்ந்த அரசியலே ஆன்மிக அரசியல்'னு சொன்னீங்க! சரி  But Now at BJP. மண்சார்ந்த ஆன்மிகம் என்பது கிடா வெட்டு, கோழி குழம்பு தான்.  இப்போ சார்வால் என்ன சைவமா? இல்ல அசைவமா?   சைவ ஆன்மிகமா? இல்லை அசைவ ஆன்மிகமா?",question_1,0.0,,0.0,0.0,,0.0
"#தத்திஸ்டாலின்  சுப வீ  ஈ வே ரா கூடாரத்தில் ஓரளாவிற்கு படித்த நபர் என்கிற அளவில் மரியாதை இருந்தது , அதை இன்று கெடுத்துக்கொண்டார் , மதனை அழைத்து தி மு க வுக்கு எதிராக செயல்படக்கூடாது என்று மறைமுகமாக மிரட்டியிருப்பது தவறு . மதன் எல்லோரையும் தான் கேள்வி கேட்கிறார்",question_1,,,,0.0,,
"#தத்திஸ்டாலின்  பொண்ணு மேட்டர்ல உள்ளத்தூக்கி போட்டு வாயில மிதிச்சானுங்களான்னு   கேள்வி கேட்டா , அரசியலில் பொன்  விழா கண்டத்தலைவரை பார்த்து கேள்வி கேட்கலாமான்னு பதில் கேள்வி கேட்குறானுங்க உடான்ஸ் பிறப்புக்கள் , கேட்டது டிடென்க்ஷன் ரிப்போர்ட் , அது இருக்கா இல்லையா ? , மிசா கசமுசா",question_1,,,,0.0,,
#தத்திஸ்டாலின் ஆம் ஸ்டாலின் தத்தித்தான் ....ஆனா எடுப்பு மாரி பொட்டை இல்ல,question_1,,,1.0,,,
"#திராவிடபுள்ளிங்கோ_திருமா இதையும் கேட்டுக் கொண்டு பெட்டைக் கோழி போல, பொழுது சாய்ந்த்தும் வந்து கூண்டுக்குள் அடைவதைப் போல, இந்தியா திரும்பி வந்து கருணாநிதியின் காலடியில் சரணடைந்த திருமாவளவன் சிங்களக் காடையனை விட மோசமான கயவன் அன்றோ?",question_1,1.0,,,,,
#திருட்டுதிமுக  #ஸ்டாலினாவது_மயிராவது #கொத்தடிமை_உபிஸ்  #திருட்டுதிராவிடம்   பதில் வராது அந்த கோண வாயன் கிட்ட இருந்து.. பொட்டை பசங்க அந்த கட்சி.,question_1,1.0,,,,,
"#நாய்_டம்ளர்_நாய்_சீமான்       #ங்கோத்தா, உன்னை இப்போ சில பேருக்கு தெரியுதுன்னா,        அதற்கு காரணம், நீ #ரஜினி பெயரை அடிக்கடி பயன்படுத்துவதால் தான் .......       இல்லையென்றால் உன்னை ஒரு #நாய் கூட மதிக்காது....😂",question_1,,,0.0,,,
#நீதிமன்றம் மூலம்  எங்கள் போராட்டத்தை  தடுக்கப் பார்த்தார்கள்.. நாங்கள் #கோர்ட்டு மூலமாக வென்று விட்டோம்..  குடியுரிமைக்கு எதிரான போராட்டக் களத்தில் ஊபி  பரபரப்பு பேச்சு..,question_1,0.0,,,,,
#பாரத்_மாத்தாகே_ஜே சொன்னா அது.- #பாஜக..  போனா வைடா!! #ங்கோத்தா சொன்னா அது #நாம்_தமிழர்.,question_1,,,,,1.0,
"#பார்ப்பானும்_பார்ப்பன_அடிமைகளும்,!? அடிமைகளை திட்டுனா சங்கிகள் காண்டாகுராணுங்க...  சங்கிகளை திட்டுனா மாங்கா கடுப்பாகுறான்,  மாங்கா பாய்ஸ்ஸ கத்துனா... நாதஸ் டென்ஷன் ஆகிறான், நாதஸ்ஸ  திட்டுனா... மத்த மூணு பயலும் சண்டைக்கு வர்றான், என்னடா நடக்குது இங்க,!?",question_1,,0.0,,,,
#பாலியல்_ஜல்சா_கட்சி இனிமே ஆபாச படங்களுக்கு  ' A ' சர்டிபிகேட்டுக்கு பதிலாக பாஜக சின்னம் தாமரையை  பயன் படுத்துங்கடா பொருத்தமா இருக்கும் ...🤣🤣🤣,question_1,0.0,0.0,,0.0,0.0,
#புரோகிதருக்கு புரோக்கர் வேல பாத்த பாஜக வின் கொபசெ பேராசிரியர் கைது அதற்கு #விசாரனை ஆணையம் வேற முழு பூசணிக்காயை மறைக்க பார்க்கும் காவி அடிமை #தமிழ்நாடு ஆளுநர் #தமிழ்நாடு #nirmaladevi #BREAKING #மோடி #OPanneerselvam #H.ராஜா #TamilisaiSoundararajan #bjp #பாலியல்_ஜல்சா_கட்சி,question_1,,,0.0,,,
#பெத்தவர்ட்டபேசுங்கவிஜய்  #Valimai #AjithKumar  கை புண்டை ய வச்சிட்tu உன் பேன்ஸ் சும்மா இல்லான அடி தான் விஜய்,question_1,,,,0.0,,
#பொம்பள_பொருக்கி_வைரமுத்து   புரோக்கர் நக்கீரன் கோபால் கைதை தொடர்ந்து பாலியல் புகாரில் சிக்கியுள்ள  வைரமுத்து தலைமறைவு?,question_1,,0.0,,,,
#பொம்பள_பொருக்கி_வைரமுத்து  கள்ளிக்காட்டு இதிகாசத்துடன் #கன்னி க்காட்டு இதிகாசத்தையும் சேர்த்து எழுதிருக்கான் மயிறுமுத்து...  #SexualPredatorVairamuthu  #காமப்பேரரசுவைரமுத்து  #SexualPredatorVairamuthu  #காமப்பேரரசுவைரமுத்து,question_1,,,,,0.0,
"#பொம்பள_பொருக்கி_வைரமுத்து  பாகிஸ்தான் பழைய ராணுவ சர்வாதிகாரி, ஜியா உல் ஹக் போல இருக்கும்,  பாம்பு கண்ணன், வைரமுத்து பற்றி, சின்மயி சொல்லுவது உண்மைதான் ,2001 இல் ""கன்னத்தில் முத்தமிட்டால் ""பாடல் பதிவு தருணத்தில்",question_1,,,,,0.0,
#பொய்பீம் வன்னியர் சமூகத்தை பத்தி மத்த சமுதாயம் தப்பாவே நினைக்கணும்னு gap கிடைக்கும் இடத்துல எல்லாம் வன்மத்த கக்கிருக்கானுக இந்த மிஷ்நரி தேவ்டியா பசங்க..  உன்ன அடிக்காம என்ன கொஞ்சுவாங்களா.<handle replaced>😂,question_1,,,,0.0,,
"#மூனு_வருஷமா #ங்கோத்தா #ங்கொம்மா னு மிக கேவலமா அதிமுக தொண்டர்களை விமர்சிச்ச #ஓடுகாலி_ஆமையனுக சமீபத்தில் இடைத்தேர்தல் வெற்றிக்குப் பிறகு அஇஅதிமுக வுல மீண்டும் இணைஞ்சி ஒன்றிய கவுன்சிலர்க்கும், மற்ற பதவிகளுக்கும்...  ",question_1,,,,0.0,,
#ரஷ்ய அதிபர் ஸ்டாலின் மனைவி ாரெ்கா அவளை நான் ஓக்க அவ எனை ஓக்க நாய் ஓக்க பண்ணி ஓக்க அதுல ஒரு சைக்கோ பிறக்க அத நய தாராவ ஓக்க என்ன நடக்க போகுதோ,question_1,,1.0,,,,
"#வந்தேறி, #தே.மவன், #கூ.மவன், #பூ.மவன், #கோத்தா, #கொம்மா, கடைசியாக வீட்டில் பிறந்து இருக்கும் பச்சிளம் குழந்தையைக் கூட விட மாட்டேங்குறானுங்க இந்த #அரடம்ளர் தும்பிங்க.  இவனுங்களா எமது தலைவன் மேதகு வே.#பிரபாகரனின் பாதையில்...  ",question_1,,,1.0,,,
#வெள்ளிக்கிழமை_வெறியர்கள்   அமெரிக்கால எவனோ விட்ட documentary க்கு அண்ணா சாலைய பல மணி நேரம் ஸ்தம்பிக்க வச்சு அமெரிக்க தூதரகத்து மேல கல்ல எறிஞ்சு அட்டகாசம் பண்ணுன நாளும் ஒரு வெள்ளிக்கிழமை தான் … தொழுகை முடித்து கூடிதான் அதைச் செய்தார்கள்,question_1,,,0.0,,,
