text,key,hi_a1,hi_a2,hi_a3,hi_a4,hi_a5
#Breaking    सुप्रीम कोर्ट  ने एससी-एसटी एक्ट (SC/ST Ac) मामले में केंद्र सरकार की पुनर्विचार याचिका को स्वीकार कर लिया है । अब सुप्रीम कोर्ट ने अपने पुराने फैसले को पलट दिया है।  यानी इस एक्ट के तहत अब पहले की तरह ही शिकायत के बाद तुरंत गिरफ्तारी हो सकेगी। #SCSTAct,question_1,,0.0,,,
#Congress - #BJP एससी-एसटी एक्ट को कर रही कमजोर- #Mayawati #SCSTACT  ,question_1,,0.0,,,
#DelhiRiot2020 में अपनी भूमिका से ध्यान हटाने को और साथ ही 'वोट बैंक' को संभाले रखने की जो कला केजरीवाल जी ने विकसित कर ली है। उसी के चलते कन्हैया कुमार की बलि दे दी गई है। कन्हैया की हालत धोबी के कुत्ते जैसी हो गई है। बजरंगबली केजरीवाल जी पे कृपा दृष्टि बनाये रखे।,question_1,,1.0,,,
#Exclusive: #Kanpur: IIT Kanpur के 4 प्रोफेसरों पर SC/ST Act में मुकदमा हुआ दर्ज। <handle replaced><handle replaced><handle replaced>#SCSTACT   ,question_1,,,,,0.0
#Gorakhpur  ➡हर्ष फायरिंग में व्यक्ति के घायल होने का मामला  ➡हत्या के प्रयास के आरोपी को किया गिरफ्तार   ➡अभियुक्त राहुल उर्फ मक्खन तिवारी गिरफ्तार  ➡एक नाजायज पिस्टल और कारतूस किया बरामद  ➡कैंट क्षेत्र के रेलवे स्टेशन के पास से गिरफ्तारी।,question_1,,,,0.0,
#HappyBirthdayRahulGandhi भगवान से आशा करता हूँ की आप मूँह से हगना बंद करो।,question_1,,,,,0.0
#IStandWithPragyaThakur आंतरराष्ट्रिय आतंकी लादेन को लादेनजी कहो तो अभीव्यक्ति की आजादी ओर गोडसे को देशभक्त कहो तो कांग्रेस की अम्मी रांड हो जाती हे 😂,question_1,,,1.0,,
"#Jaipur युवक ने सूखे कुएं में लगाई छलांग   करीब 150 फीट गहरे कुएं में कूदा युवक, सामोद थाना इलाके के महार गांव का मामला  सामोद पुलिस पहुंची मौके पर, युवक को बाहर निकालने का किया जा रहा प्रयास, जयपुर से सिविल डिफेंस की टीम पहुंची मौके पर  <handle replaced><handle replaced>",question_1,,,0.0,,
#KanganaRanaut या दो करोड़ की नचनिया और रंडी हमें बताएगी कि आजादी किसने दिलाई हमें,question_1,1.0,,,,
"#Mirzapur भोसडीके सिरीज़ बनाये हो कि भौकाल !!  भेंचोद गाली गलौज तक तो ठीक था,  पर ये परखच्चे उड़ाने के सीन तो एकदम    खतरु से भी खतरनाक है।  हाँ लेकिन किरदार सारे जानदार है।  फुल पॉइंट टू स्क्रीन प्ले।  #MirzapurAmazon",question_1,,,1.0,,
#MustListen_Satsang  पूर्ण संत का जीवन सत्संग जीवन बदल देता है पूर्ण संत के सत्संग की एक छोटी सी घड़ी भी बहुत महत्वपूर्ण होती है । सदना कसाई बकरे काटता  था । संत रूप में परमात्मा मिले और कुछ मिनटों के सत्संग ने उसे कसाई से भगत बना दिया।,question_1,,,,,0.0
"#NasheSeAazadi  तंबाकू उत्पादों का सेवन व्यक्ति अलग-अलग रूप में करता है, जैसे सिगरेट, बीड़ी, जर्दा, गुटखा, खैनी, हुक्का, चिलम आदि । यही धूम्रपान धीरे धीरे आदमी को मौत के मुंह में ले जा रहा है । तंबाकू खाने से गला, मुंह तथा स्वासनली व फेफड़ों का कैंसर होता है l",question_1,,,0.0,,
#Priyanka_Reddy और मंदी पर एक एक TV show दिखा कर दलाल मीडिया खुद को बहुत सम्वेदनशील साबित करने की कोशिश कर रहा है|,question_1,,,,0.0,
#RheaChakraborty की कॉल डीटेल्स से कई राज़ खुल कर सामने आ रहे हैं उनमें सबसे अहम है वह व्यक्ति है जिससे सुशांत की मौत के दिन हुई थी रिया की लम्बी फोनवार्ता..      <handle replaced><handle replaced><handle replaced>#SSRDeathMystery #SushantSinghRajput     ,question_1,,,1.0,,
#RheaChakraborty जेल में चैन की साँस ले रही होगी 😬😬😬,question_1,,,,0.0,
"#RohitSharma क्यों नहीं देख पाए #जीत का #छक्का, जानिए यहाँ   #Crickets #NidahasTrophy2018Final  #sport #news #Headlines #cricket    ",question_1,,,1.0,,
"#SCSTAct  सवर्ण गोबरभक्तो को उनके नाम के आगे चौकीदार लगाने का इनाम आज उनको मिल गया है , आशा है जल्द ही भाजपा और कांग्रेस समर्थको के किसी घर वाले का इस एक्ट के अंदर गिरफ्तारी हो , फिर गोबरभक्तो को भी पता चले",question_1,,,0.0,,
"#SHE is #SupportHinduEconomy #SHE  नाई, मोची, कहार, भंगी, सिलाई-कढ़ाई, कबाड़, मैकेनिक, दर्जी, राजगीर आदि बहुत से काम जिन्हें आज छोटा समझा जाता है, वैदिक काल से अंग्रेजियत तक ये हिन्दू इकोनॉमी का हिस्सा थे, और रोजगार देते थे।  सोचिए आज इनपर किसका कब्जा है",question_1,,,,0.0,
#SSR Case  #RheaChakraborty Ka Bhai Hua #Giraftaar   ,question_1,,,,,0.0
#ScStAct सुप्रीम कोर्ट आज एससी/एसटी एक्ट को लेकर केंद्र सरकार की याचिका पर फैसला सुना सकता है  बता दें कि 20 मार्च 2018 को सुप्रीम कोर्ट ने इस एक्ट के तहत गिरफ्तारी के प्रावधानों को लचीला बना दिया था. इस फैसले को लेकर काफी हंगामा हुआ था और कई संगठनों ने देशभर में प्रदर्शन किए थे,question_1,,0.0,,,
#ShameAlkaLamba  धंदा बंद होने के कारण जाहिल औरत ने उल्टी कर दी,question_1,,,,0.0,
#Shikara ने हिंदुओ को ही कम्युनल बना कर रख दिया है ये कश्मीरी हिंदुओ पर थूकती है हिंदुओ के दर्द का भी सौदा कर दिया इन भांड बाँलीबुड बालो ने एक नरसंहार जो मुस-लमानो ने किया था उसको भी प्रेम कहानी दिखा दिया <handle replaced><handle replaced><handle replaced>,question_1,,,,,0.0
#UntoldStoriesलाॕक कि वजह से नोकरी गई तबसे मन मे तुफान ऊठना शुरु हुवा क्युंकी मेरे साथ मेरे बेटे और बिबी कि भि नौकरी गई बेटी पढाई कर रही थीऐसे मे एक फील्म के पार्ट मे खराब हालात मे माॕ कहती हैबच्चों का क्याऊस वक्त मुझे आत्महत्या का विचार आया लेकिन मैहि गया तो बच्चोंकाक्या ईसलीए,question_1,0.0,,,,
"#adhir तुझे पता है ? फ़िरोज़ गाँधी के पूर्वजो की माँ-बहन पर बाबर-औरंज़ेब के गुंडों ने बलात्कार किया था,उसे कटुआ बनाया था.तब से फ़िरोज़ गाँधी खान नाम पड़ा,ऐसी औलादो को हरामी कहते है और  उसकी औलादो को भी हरामी कहे जाते है,तू भी कटुओ का चमचा बन रहा है,कुत्तो की तरह भौंकना बंद कर.",question_1,,,1.0,,
#imrankhanjawabdou Jee imran saahb do jawab chup kyu ho???,question_1,0.0,,,,
"#saturdaymorning  पुनर्जन्म होता है। पूर्ण संत सतगुरु रामपाल जी महाराज बहन कमाली के पिछले जन्मों का वर्णन करते हुए एक शब्द के माध्यम से बताते हैं :- राबिया से भई बंसुरी, फिर गणका ख्याल बनाया । गणिका से फिर भई कमाली, फिर तेरा ही शरणा पाया ।।",question_1,,,1.0,,
#suitcase se jyada accha hai,question_1,,,,0.0,
"#अखण्ड_भारत बनना ही चाहिए, क्यों कि यह देख कर अब विश्वास हो चला है कि संघ के राज में वाक्य में ही #हिन्दू ख़तरे में हैं :(.  🇮🇳 🙏.   #Delhi #India #Covid_19 #lockdown",question_1,0.0,,,,
"#अम्फान #साइक्लोन बंगाल में आया भजपा #महाराष्ट्र_बचाओ के नारे लगा रही है। बंगाल ओडिशा बचालो भई। दरअसल ये लोग शिकार पे निकले है, मध्यप्रदेश और कर्नाटक के बाद एक और शिकार। एक और चुनी हुई सरकार गिराने की राजनीति चालू है इस covid पान्डेमिक में भी।",question_1,,,0.0,,
#आजमखान ने शेर बोला पूरे महिलाआयोग ने मोर्चा निकालाJNUकी लड़की शिक्षा माँग रही उन्हें वैश्या व लेस्बियन बोला जा रहा कहाँ है आयोग ?#देशहित में#,question_1,,,,0.0,
#ईसाई धर्म के इतिहास में अब तक 260 से ज्यादा पोप बने हैं .इनमें एक भी महिला पोप नहीं बनी और  एक भी ब्लैक नीग्रो या एशियाई या हब्शी पोप नहीं बना ...सिर्फ गोरे ही ईसाई धर्म के सर्वोच्च धर्मगुरु यानी पोप बने और यह इक्वलिटी की बात करते हैं,question_1,,,,,0.0
"#उत्तरप्रदेश #कोरोना  पिछले 24 घंटों में संक्रमण के 3,278 नए मामले सामने आए और ठीक होकर डिस्चार्ज होने वालों की संख्या 6,995 है। सक्रिय मामलों की कुल संख्या घटकर 58,270 रह गई है।  #फेक्ट_न्यूज",question_1,0.0,,,,
#क़ातिल_शाहीन_बाग़ ' लफ्ज़ ए क़ातिल ' शांतिमय शरिया के जादे नज़दीक़ है,question_1,,,1.0,,
#कांग्रेस_अध्यक्ष बनने के बाद छठवीं बार कर्नाटक भी हार कर #पप्पू का हार का जबरदस्त #छक्का.... बहुत-बहुत बधाई इस #छक्के के लिये !😂,question_1,,1.0,,,
#कुछ_लोग_होते_हैं_जो #fakecase karte hai or #MeToo ke name se darate hai.#law ka #miseuse karte hai  #498a,question_1,,,,0.0,
"#कोरोना_अपडेट पिछले 24घंटे में 81,466 नए मामले आने के बाद कुल पॉजिटिव मामलों की संख्या 1,23,03,131 हुई, 469 नई मौतों के बाद कुल मौतों की संख्या 1,63,396 हो गई है।  देश में सक्रिय मामलों की कुल संख्या 6,14,696 है और डिस्चार्ज हुए मामलों की कुल संख्या 1,15,25,039 है।  #फेक्ट_न्यूज",question_1,,,,,0.0
"#कौशाम्बी : रहस्यमय हालत में जिन्दा जली युवती, मौत  #Kaushambi <handle replaced><handle replaced><handle replaced>  ",question_1,,,,0.0,
#गणतंत्र_दिवस का एक बहुत ही सरल उपहार जिसमें सभी #गुजरात गर्व कर सकते हैं।   #LRD_MALE उम्मीदवारों को #Sabarmati जेल में उन अपराधियों के साथ रखा गया है जो बलात्कार और हत्या के लिए #Central_Jail में बंद हैं। #LRD_MALE_CENTRAL_JAIL <handle replaced><handle replaced><handle replaced><handle replaced>,question_1,,0.0,,,
"#गम्भीर_चेतावनी ब्रिटेन, जर्मनी समेत दुनिया के कई देशों में कोरोना से जुड़ी पाबंदियां सख्त की हैं। मुंबई में भी कोरोना के मामले पिछले दिनों में बढ़े हैं। यह कोरोना की तीसरी वेव का संकेत हो सकता है। इसलिए लापरवाही बिल्कुल ना बरतें, कोविड प्रोटोकॉल का पूरी तरह से पालन करें।",question_1,,,0.0,,
#गुजरात की #जसोदा बेन मोदी 🇮🇳🙏.,question_1,,,,0.0,
#गुजरात में माँ के लौड़े । सब भगोड़े ।,question_1,,,,,1.0
"#चन्द्रशेखर_को_रिहा_करो  ओय गाय-गोवर वाली सरकार..   हंम संविधान को मानने वाले लोग है,बस हमसे टकराणे की कोशीस मत करणा नहीं तो हमारा इतिहास भी देखलो..    500 महार(बहुजन) सैनिकोने 28000 पेशवाको काट डाला था...",question_1,,,,,0.0
#चीनी_दलाल_ग़द्दार_कांग्रेस द्वारा आपातकाल के दौरान और उसके बाद राजनैतिक दलों में डर बैठा किए गए सभी #संविधान_संशोधनों_की_हो_समीक्षा और बदला जाए ऐसे संशोधनों से हिंदू व देश विरोधी भारतीय संविधान को.!#संविधान_बदलो और पुराने क़ानून व क़ानूनी प्रक्रिया भी बदलो.!<handle replaced><handle replaced>,question_1,,,0.0,,
"#चुटकुला_टि्वटर ""Work from home"" को फॉलो करते हुए काम वाली बाई का वीडियो कॉल आया था...!!  बोली...👇 .  .  .  .  .  साहब...मैं जैसे जैसे बताऊं वैसे वैसे पोछा मारते जाना। 😆🤧😷🤪",question_1,,,1.0,,
#छत्तीसगढ़ में <handle replaced>की सरकार के मुखिया <handle replaced>जी को इस सराहनीय कार्य के लिए मेरा सलाम... दूसरे राज्यों के लिए एक सीखा भी...🇮🇳🙏.  यूं ही नहीं कहते #छत्तीसगढ़िया सबसे #बढ़िया 🙂,question_1,,,0.0,,
#जंगली_जानवरों को #मारने के लिये सक्त #कानून है। लेकिन यूपी सरकार द्वारा #गौ_हत्या पर कानून बनाने पर #विपक्ष_परेशान है। <handle replaced>  आखिर क्यों?🤔,question_1,,,,0.0,
"#जयपुर : स्वच्छ भारत पखवाड़ा के समापन पर बीबी दवे की प्रेस कॉन्फ्रेंस  पखवाड़े के दौरान विभिन्न क्रियाकलापों की जानकारी देंगे, पखवाड़े की उपलब्धियों का विवरण देंगे बीबी दवे, राजस्थान परिमंडल के मुख्य पोस्टमास्टर जनरल है बीबी दवे।",question_1,,0.0,,,
#ढ़ोंगीचार्य जी कांग्रेस माता की पॉटी साफ करना छोड़ दो <handle replaced>,question_1,,,,,0.0
#पति : ससुर जी आपकी बेटी रात भर कहा चली जाती है मैं क्या करु। #ससुर : बेटा तेरी सास 7 दिन से BF के साथ गई हुई है आएगी तो वही बता सकती हैं किंतने BF है तेरी पत्नी के  #SupremeCourt #दलाल  <handle replaced><handle replaced><handle replaced> क्या भांग पी कर सोये हो पूरा समाज रंडीखाना बनाना है क्या?,question_1,,1.0,,,
#पनौती.... शाहीन बाग पहुंच गई है  अब #शाहीन बाग का खेल खत्म....!!! 😂😂😂😂😂,question_1,,,1.0,,
"#पप्पू #हिंदू बन के हार गया, #मुस्लिम बन कर हार गया, #क्रिश्चियन बनकर हार गया,👇 एक बार #छक्का बन के 😀😝 भी देख ले 😀😝",question_1,,,,0.0,
#बलात्कारी_पुरुष_संत_रामपाल #महाझूठा_योगी #महाझूठी_तृषाकर #भोजपुरी_को_रंडीखाना_न_बनाओ #तृषाकर_मधु #तृषाकर #तृषा यह लोग इतना घटिया गाना इसीलिए मना लेते हैं कि के अंदर से ऐसे ही होते हैं पर हम तुम विरोध नहीं कर सकते अब कर सकते हैं। तब समर्थक बोलते हैं अब चुप्पी साध लेते हैं।,question_1,,,,0.0,
"#भारत के #60साल तक #कांग्रेस_परिवार ने #राज किया,और #देश को #अंदर से #कमज़ोर करने का #कार्य किया,और #अधर्मी_जिहादी,#भ्र्स्ट_लोगो को #बढ़ावा दिया गया,और #ऐयासी_किया और,  ज़ब #आज हमारा #भारत_विकास की और बढ़ रहा हैं,तो #उसमे भी #सभी_विपक्षी_नेता #बाधा बनते हैं...  <handle replaced>",question_1,,,1.0,0.0,
"#भारत के अंदर #हिंदू_बहुसंख्यख समाज है, उसके बाद भी वह अधर्मी_जिहादी_मानसिकता के अल्पसंख्यक_जाती द्वारा,हिन्दुओ उनके परिवारों को टारगेट किया जाता है मारा जाता है,अपने हिंदुत्व के बात करने वाले को,वह जिहादी द्वारा अत्याचार किया जाता है, दिल्ली,बंगाल,केरल आदि इनके उदहारण है, विचारे",question_1,0.0,,,,
"#भारत के सभी #सनातनी_स्त्री_जाती से कहना चाहता हूं,जिस दिन से आप अपनी #धर्म के प्रति समर्पित होजाएंगी,और #वास्तविकता को देखेंगी समझेंगी,उस दिन से किसी भी #अधर्मी_जिहादी की हिमत नहीं जो आपको,आँख उठा कर देखे,हर स्त्री मैं #दुर्गा के साथ #काली भी है..  #शुभरात्रि☺️  <handle replaced>",question_1,,,,0.0,
"#मांझी_की_नैया_डूबी ट्रेंड पर <handle replaced><handle replaced><handle replaced><handle replaced>कोई नहीं आयेगा फिर ये बोलते हैं हमें चाटुकार, दल्ला मत बोलो।  अरे बिना रीढ़ के हड्डियों पर पलने वालों क्यों गुमराह करते हो स्वयं तो गुलाम हो ही दूसरों को क्यों मुर्ख बनाते हो?  #अबकी_बार_अंतिम",question_1,0.0,,,,
"#मुजफ्फरनगर -#ScstAct के विरोध में 2 अप्रैल को हुए हिंसक आंदोलन में मारे गए गादला गांव के अमरेश के घर पहुंचे भीम आर्मी संस्थापक चन्द्र शेखर आज़ाद,केंद्र और राज्य सरकार पर जमकर दहाड़े चंद्रशेखर,प्रधानमंत्री पर भी की अभद्र टिप्पणी,मायावती को प्रधानमंत्री बनाने की अपील की <handle replaced>",question_1,,,,,0.0
#मुरादाबाद में रविवार को 18 लोगों की #कोरोना पॉजिटिव रिपोर्ट में एक ही #परिवार के 4 लोग शामिल हैं।  स्वास्थ्य विभाग के मुताबिक #बरबलान मुगलपुरा क्षेत्र एक व्यक्ति #फरवरी माह में #हिजरा #मस्जिद में ठहरे #जमातियों के संपर्क में आया था।   यही #मेडिकल पर #हमला भी किया गया था।,question_1,,,,,0.0
"#मौलाना_मोदी के #आरक्षण और  #Scstact ने सवर्ण हिंदुओंकी कबर खोद डाली हैं।  ₹ पांच हज़ार करोड़ों के वजीफे मदरसोंको अनुदान और फ्री कोचिंग प्रशासनिक सेवा के लिए,  बाद में सरकारी प्रशासनिक सेवा नियुक्तिमें प्राथमिकता।  ग़रीब सवर्ण हिंदुओंके बच्चों बाबाजीका 🔔बजाओ या फांसी लगा लों।",question_1,0.0,,,,
"#ये_ब्राह्मणवादी_सरकार_है कल से गुजरात में 'ब्राह्मण बिजनेस समिट' हो रहा है, जिसमें 10,000 ब्राह्मण युवाओं को नौकरी दी जाएगी. सीएम और राज्यपाल इसमें आएंगे.  क्या यादव, चमार-जाटव,कुर्मी,कुशवाहा, वाल्मीकि,लोधी,मीणा,संथाल,कुम्हार आदि के लिए भी ऐसे आयोजन होंगे",question_1,,,,,0.0
#लखनऊ : अनुसूचित मोर्चा धोबी समाज प्रतिनिधि बैठक में डिप्टी सीएम <handle replaced>का बयान-धोबी समाज और पीएम की कार्यशैली देखकर लगता है संत गाडगे के असली अनुयायी हैं <handle replaced>.,question_1,,,,,0.0
#विकास_को_इंसाफ_कब ना किसी भांड नेता के ऑसु आये ना मिडीया ने विधवा विलाप किया ना चमचो को फर्क पडा ना धर्म की जाति के नाम पर रोटिया सेकने वाले बाहर आये ना हि चुडिया तोडी नेताओ ने क्युकि मरने वाला  ब्राह्मण था <handle replaced><handle replaced><handle replaced><handle replaced>,question_1,,,,0.0,
"#संघ का राजनीती से कोई लेना-देना नहीं, पर सच्चाई यह है कि #भाजपा के सारे नेता संघ की ही नाजायज़ पैदाइश हैं.",question_1,,,,,0.0
#संबित_पात्रा_देश_के_लिए_कचरा_है  खुले में  हगना बंद करो बंद करो मूह से हगना बंद करो,question_1,,,0.0,,
"#सीधी_बात_नो_बकवास  राम मंदिर नही तो वोट नही...  जो राम का नही, वो किसी काम का नही!  #SCSTACT के लिए सुप्रीम कोर्ट का निर्णय बदला जा सकता है तो श्री राम मंदिर के लिए क्यों नही??  <handle replaced><handle replaced><handle replaced> #मंदिर_वहीं_बनाएंगे",question_1,,,0.0,,
#सैनी_क्षत्रिय_रेजिमेंट_हक_है_हमारा  #चमार_रेजिमेंट_हक़_है_हमारा  वाले लोगों मेरे देश को जात() के आधार पर मत बाँटों  अगर आप लोग ऐसा करेंगे तो कुछ और जात() के लोग यही आवाज उठाएंगे  और फिर धीरे-धीरे सभी ऐसा करेंगे।,question_1,,,,0.0,
"#हलाल_मुक्त_दिवाली चाहिए तो हराम की टट्टी खाना शुरू कर दो, और अब वो जीव प्रेमी कौन से बिल में छिप गए?? बकरा दिवाली पर मांस और बकरीद में जीव बन जाता है गजब का दोगलापन!",question_1,,,,0.0,
' इंडिया के पापा ' कौन देश को बताने वाली आंटी अपने TV प्रोग्राम के जरिये सैकड़ो बार भावनाओं को आहत करने वाली आंटी आज किसी औऱ की मानसिकता का बखान करने आई है । वैसे उम्र के हिसाब से बुलबुल कहने की ग़लती को आप तारीफ़ समझ कर नजरअंदाज भी कर सकतीं थी ।,question_1,,,,0.0,
"*#Mahashivratri*   *#महाशिवरात्रि* 🔱सामान्य जीव से लेकर ब्रह्मा जी, विष्णु जी तथा शिव जी तक भी सुखी नहीं हैं। क्योंकि इनकी भी मृत्यु होती है। (श्रीमद देवी भागवत पृष्ठ 123) और जब तक जन्म - मरण है तब तकसुखनहींहोसकताअधिकजानकारीकेलिएदेखेसाधनाटीवीरात्रि7:30से830तक संत रामपाल जी महार",question_1,0.0,,,,
*ऐसे ही सिंगल नही हु में*   *जरूर किसी कमीनी👩🏻‍🦰ने टोना टोटका करा रखा है*😒 *कौन है सामने आओ*  🧐🧐😒,question_1,,,,,0.0
"*ख़तरनाक वे होते हैं जो अंदर से बदसूरत हैं,* *चेहरों की बदसूरती किसी को कोई नुक़सान नहीं पहुंचाती।*",question_1,,,0.0,,
"*बीजेपी का समर्थक होने का एक लाभ ये भी है कि लोग भक्त की उपाधि देते हैं*  *चमचा , ग़ुलाम या जिहादी नहीं बोलते 🤣🤣* *ऊंचे लोग ऊंची पसंद 😎* जय जय श्री राम",question_1,,,0.0,,
"*रिप्लाई न मिलने पर ये दिल फुट फुट के रोता है,*  *10 बजे से पहले कोन मादरचोद सोता है !*  😁🅰😁 #bakbaria  #HappyBirthdayMunvvarRana",question_1,0.0,,,,
.. <handle replaced><handle replaced><handle replaced>क्या आप अपराधी के साथ खड़े इस विधायक के साथ हैं?   यदि नहीं तो अब तक यह बीजेपी में क्यों बना हुआ है?  2/2,question_1,,,0.0,,
.. अपने भाई-बहनो के साथ इस संकट का सामना करने के लिए खड़े रहेंगे। 3/3,question_1,,,,0.0,
".... के पापा, सूचित करते हुए हर्ष हो रहा है कि आपके द्वारा भेजा गया 30% प्राप्त हो गया। पावती रसीद आपको मिल जाएगी। इस पैसे से 'सब' खरीद लूंगी। शेष कुशल है। आपकी कुशलता की कामनाओं के साथ।  नोट: वैसे परसेंटेज कुछ बढ़ा देते तो...। जाने किस कलमुंही को बाकी भेजेंगे आप।  आपकी ....",question_1,,,1.0,,
..खबरों के अनुसार प्रयागराज में 70 फीसदी संक्रमित लोगों की रिपोर्ट पॉजिटिव आने के 48 घंटे के भीतर ही मृत्यु हो गई।  हमें इसी बात का डर था इसलिए शुरू में ही हमने उप्र के मुख्यमंत्री जी को पत्र लिखकर इस संदर्भ में सकारात्मक सुझाव देते हुए अधिकतम टेस्टिंग की बात उठाई थी। 3/3,question_1,0.0,,,,
".<handle replaced>कान साफ़ नहीं किए हो क्या?? अच्छा मैं तो भूल ही गया जिसके मन ही गंदा हो वोह भला कान क्या साफ़ करेगा।  वैसे अमानातुल्लाह खान ने ""जरिया"" बोला है शरिया नहीं जरिया (The Way) (रास्ता) अबे तुम तो डॉक्टर हो ना? पीएचडी भी किए हो  #गुंजा_बदनाम_हुई_मोदी_तेरे_लिए",question_1,,,1.0,,
.खाली जेब वाला मर्द...  दुनिया की हर औरत की नज़र में बदसूरत होता है...✍️,question_1,,,,,0.0
"1 - चोर,,चन्द्रमा(उजाले) से जलता है   2- कुरूप,,रूपवान,,से जलता है  3-छिनाल पत्नी,,अपने,,पती,,से जलती है। उसी तरह   गद्दार,,देशद्रोही,,सनातन द्रोही,,नाथूराम गोडसे जी,,से जलते हैं।   अमर बलिदानी पं नाथूराम गोडसे जी। को नमन 🙏🙏",question_1,0.0,,,,
"1.कानपुर राजकीय संरक्षण गृह में काफी बहन-बेटियों के कोरोना संक्रमित होने व कुछ के गर्भवति होने की खबर से सनसनी व चिन्ता की लहर दौड़ना स्वाभाविक ही है जो पुनः साबित करता है कि यूपी में महिला सम्मान तो दूर उनकी सुरक्षा के मामले में सरकार उदासीन, लापरवाह व गैर-जिम्मेदार बनी हुयी है।",question_1,,,0.0,,
13. 5. युवाओं के रोजगार के लिए उत्तराखण्ड में उगने वाली जड़ी-बूटियों के दोहन का अधिकार स्थानीय समुदाय को दिया जाए।  6. यदि कोई जंगली जानवर किसी व्यक्ति को विकलांग कर देता है या मार देता है तो सरकार को 25 लाख रु मुआवजा व पक्की सरकारी नौकरी देनी चाहिए।,question_1,,,,0.0,
